subject_id,sex,reference_id,reference_sex,comparison_type,pair_index,split
NDARINV0DYF4WPG,2,NDARINVACZZH8LM,2,same_sex,0,train
NDARINV0DYF4WPG,2,NDARINVZUDPGDWJ,2,same_sex,1,train
NDARINV0DYF4WPG,2,NDARINV0WHFCZKU,2,same_sex,2,train
NDARINV0DYF4WPG,2,NDARINV4H7G4RXD,2,same_sex,3,train
NDARINV0DYF4WPG,2,NDARINVBT1JM1WA,2,same_sex,4,train
NDARINV0DYF4WPG,2,NDARINV05CA3VX5,2,same_sex,5,train
NDARINV0DYF4WPG,2,NDARINVWXLHTR31,2,same_sex,6,train
NDARINV0DYF4WPG,2,NDARINVUU9P706U,2,same_sex,7,train
NDARINV0DYF4WPG,2,NDARINVRAZRBGAL,2,same_sex,8,train
NDARINV0DYF4WPG,2,NDARINVUWAU3TFB,2,same_sex,9,train
NDARINV0DYF4WPG,2,NDARINV28X60X09,2,same_sex,10,train
NDARINV0DYF4WPG,2,NDARINVLMAAJ8JJ,2,same_sex,11,train
NDARINV0DYF4WPG,2,NDARINVP3Z6VCWP,2,same_sex,12,train
NDARINV0DYF4WPG,2,NDARINVL7YXYKK6,2,same_sex,13,train
NDARINV0DYF4WPG,2,NDARINVEWHRTRC2,2,same_sex,14,train
NDARINV0DYF4WPG,2,NDARINV6NFVRHFA,2,same_sex,15,train
NDARINV0DYF4WPG,2,NDARINV90FEV190,2,same_sex,16,train
NDARINV0DYF4WPG,2,NDARINVAGTPK840,2,same_sex,17,train
NDARINV0DYF4WPG,2,NDARINVKE8TDKAW,2,same_sex,18,train
NDARINV0DYF4WPG,2,NDARINV9YZV41AE,2,same_sex,19,train
NDARINV0DYF4WPG,2,NDARINVZ2REMPTW,1,different_sex,0,train
NDARINV0DYF4WPG,2,NDARINV1NJVJ6VN,1,different_sex,1,train
NDARINV0DYF4WPG,2,NDARINVD6E70E57,1,different_sex,2,train
NDARINV0DYF4WPG,2,NDARINV83PDDV47,1,different_sex,3,train
NDARINV0DYF4WPG,2,NDARINVKH0DH6EC,1,different_sex,4,train
NDARINV0DYF4WPG,2,NDARINV75ZYAV1X,1,different_sex,5,train
