subject_id,sex,reference_id,reference_sex,comparison_type,pair_index,split
NDARINV0DYF4WPG,2,NDARINVL7YXYKK6,2,same_sex,0,train
NDARINV0DYF4WPG,2,NDARINV6H7448TR,2,same_sex,1,train
NDARINV0DYF4WPG,2,NDARINV0WHFCZKU,2,same_sex,2,train
NDARINV0DYF4WPG,2,NDARINVTCJV2RMX,2,same_sex,3,train
NDARINV0DYF4WPG,2,NDARINV28X60X09,2,same_sex,4,train
NDARINV0DYF4WPG,2,NDARINV75ZYAV1X,1,different_sex,0,train
NDARINV0DYF4WPG,2,NDARINVD6E70E57,1,different_sex,1,train
NDARINV0DYF4WPG,2,NDARINVD7969NZ4,1,different_sex,2,train
NDARINV0DYF4WPG,2,NDARINVGL730ZLT,1,different_sex,3,train
NDARINV0DYF4WPG,2,NDARINVEHLY59UX,1,different_sex,4,train
NDARINV53AA4BL6,2,NDARINV9YZV41AE,2,same_sex,0,train
NDARINV53AA4BL6,2,NDARINVL7YXYKK6,2,same_sex,1,train
NDARINV53AA4BL6,2,NDARINVJ8XHKKP8,2,same_sex,2,train
NDARINV53AA4BL6,2,NDARINVLMAAJ8JJ,2,same_sex,3,train
NDARINV53AA4BL6,2,NDARINV7FG8NTPP,2,same_sex,4,train
NDARINV53AA4BL6,2,NDARINVD7969NZ4,1,different_sex,0,train
NDARINV53AA4BL6,2,NDARINVV24BU329,1,different_sex,1,train
NDARINV53AA4BL6,2,NDARINVDCMB3LBH,1,different_sex,2,train
NDARINV53AA4BL6,2,NDARINVUJ1389BN,1,different_sex,3,train
NDARINV53AA4BL6,2,NDARINVGHL1WZCU,1,different_sex,4,train
NDARINVRMTJ44GE,2,NDARINVF4P23JMZ,2,same_sex,0,train
NDARINVRMTJ44GE,2,NDARINVP3Z6VCWP,2,same_sex,1,train
NDARINVRMTJ44GE,2,NDARINV28X60X09,2,same_sex,2,train
NDARINVRMTJ44GE,2,NDARINVY1KBMF25,2,same_sex,3,train
NDARINVRMTJ44GE,2,NDARINVZT34GNRB,2,same_sex,4,train
NDARINVRMTJ44GE,2,NDARINVDCMB3LBH,1,different_sex,0,train
NDARINVRMTJ44GE,2,NDARINV69YP46W3,1,different_sex,1,train
NDARINVRMTJ44GE,2,NDARINVJVHUKF36,1,different_sex,2,train
NDARINVRMTJ44GE,2,NDARINVLJ3FUY7X,1,different_sex,3,train
NDARINVRMTJ44GE,2,NDARINVEM2F38BY,1,different_sex,4,train
NDARINVNUVYJFN0,1,NDARINV23XZD51D,1,same_sex,0,train
NDARINVNUVYJFN0,1,NDARINV1NJVJ6VN,1,same_sex,1,train
NDARINVNUVYJFN0,1,NDARINV6W30KJMZ,1,same_sex,2,train
NDARINVNUVYJFN0,1,NDARINV69YP46W3,1,same_sex,3,train
NDARINVNUVYJFN0,1,NDARINV77M916PU,1,same_sex,4,train
NDARINVNUVYJFN0,1,NDARINVJ8XHKKP8,2,different_sex,0,train
NDARINVNUVYJFN0,1,NDARINV0WHFCZKU,2,different_sex,1,train
NDARINVNUVYJFN0,1,NDARINV2PG9W3G7,2,different_sex,2,train
NDARINVNUVYJFN0,1,NDARINVZT34GNRB,2,different_sex,3,train
NDARINVNUVYJFN0,1,NDARINVWXLHTR31,2,different_sex,4,train
NDARINVLBP235A2,1,NDARINV8BTF3TP9,1,same_sex,0,train
NDARINVLBP235A2,1,NDARINV83PDDV47,1,same_sex,1,train
NDARINVLBP235A2,1,NDARINV1NJVJ6VN,1,same_sex,2,train
NDARINVLBP235A2,1,NDARINVWE1Z3L3H,1,same_sex,3,train
NDARINVLBP235A2,1,NDARINVCZ5MFAJL,1,same_sex,4,train
NDARINVLBP235A2,1,NDARINVLMAAJ8JJ,2,different_sex,0,train
NDARINVLBP235A2,1,NDARINVHJ7JV8XN,2,different_sex,1,train
NDARINVLBP235A2,1,NDARINV93FRJHXC,2,different_sex,2,train
NDARINVLBP235A2,1,NDARINV0WHFCZKU,2,different_sex,3,train
NDARINVLBP235A2,1,NDARINVETNDZFKZ,2,different_sex,4,train
NDARINVCP9MXC42,1,NDARINVWE1Z3L3H,1,same_sex,0,train
NDARINVCP9MXC42,1,NDARINV9B14E538,1,same_sex,1,train
NDARINVCP9MXC42,1,NDARINV75ZYAV1X,1,same_sex,2,train
NDARINVCP9MXC42,1,NDARINVEHLY59UX,1,same_sex,3,train
NDARINVCP9MXC42,1,NDARINVVFKCK80B,1,same_sex,4,train
NDARINVCP9MXC42,1,NDARINVWKY1N9UE,2,different_sex,0,train
NDARINVCP9MXC42,1,NDARINV0WHFCZKU,2,different_sex,1,train
NDARINVCP9MXC42,1,NDARINV0DYF4WPG,2,different_sex,2,train
NDARINVCP9MXC42,1,NDARINVAGTPK840,2,different_sex,3,train
NDARINVCP9MXC42,1,NDARINV28X60X09,2,different_sex,4,train
NDARINV5HNAA4NT,1,NDARINV9B14E538,1,same_sex,0,train
NDARINV5HNAA4NT,1,NDARINVEM2F38BY,1,same_sex,1,train
NDARINV5HNAA4NT,1,NDARINVCYVT35R2,1,same_sex,2,train
NDARINV5HNAA4NT,1,NDARINV69YP46W3,1,same_sex,3,train
NDARINV5HNAA4NT,1,NDARINVK5GR7ZF4,1,same_sex,4,train
NDARINV5HNAA4NT,1,NDARINVAGTPK840,2,different_sex,0,train
NDARINV5HNAA4NT,1,NDARINVWKY1N9UE,2,different_sex,1,train
NDARINV5HNAA4NT,1,NDARINVTCJV2RMX,2,different_sex,2,train
