subject_id,sex,split
NDARINV0DYF4WPG,2,train
NDARINV53AA4BL6,2,train
NDARINVRMTJ44GE,2,train
NDARINVNUVYJFN0,1,train
NDARINVLBP235A2,1,train
NDARINVCP9MXC42,1,train
NDARINV5HNAA4NT,1,train
NDARINVWXLHTR31,2,train
NDARINVH1DLLYY5,1,train
NDARINVV24BU329,1,train
NDARINV23XZD51D,1,train
NDARINVN1HATRZN,1,train
NDARINV2PG9W3G7,2,train
NDARINVCZ5MFAJL,1,train
NDARINV31UPFNDE,2,train
NDARINVZ2REMPTW,1,train
NDARINV4H7G4RXD,2,train
NDARINV3X1TYL13,2,train
NDARINVGHL1WZCU,1,train
NDARINV75ZYAV1X,1,train
NDARINVEWHRTRC2,2,train
NDARINVF4P23JMZ,2,train
NDARINV9B14E538,1,train
NDARINVD7969NZ4,1,train
NDARINVETNDZFKZ,2,train
NDARINV77M916PU,1,train
NDARINVDCMB3LBH,1,train
NDARINVJ8XHKKP8,2,train
NDARINV8A1N51J2,1,train
NDARINVUU9P706U,2,train
NDARINVYW440F27,1,train
NDARINVYZURN14T,1,train
NDARINV6H7448TR,2,train
NDARINVUJ1389BN,1,train
NDARINV2AT88DBZ,2,train
NDARINV83PDDV47,1,train
NDARINV28X60X09,2,train
NDARINVUWAU3TFB,2,train
NDARINVPLBB3DCW,1,train
NDARINV1NJVJ6VN,1,train
NDARINV6W30KJMZ,1,train
NDARINV21Y67TEX,1,train
NDARINV0CF1U8X8,1,train
NDARINVKE8TDKAW,2,train
NDARINVL8PY2P4B,1,train
NDARINV8BTF3TP9,1,train
NDARINV90FEV190,2,train
NDARINVLJ3FUY7X,1,train
NDARINVLMAAJ8JJ,2,train
NDARINVGL730ZLT,1,train
NDARINVK5GR7ZF4,1,train
NDARINVKH0DH6EC,1,train
NDARINVJVHUKF36,1,train
NDARINVVFKCK80B,1,train
NDARINV6DYLLUU6,1,train
NDARINVY4HKER0E,2,train
NDARINV69YP46W3,1,train
NDARINV93FRJHXC,2,train
NDARINVCYVT35R2,1,train
NDARINV8Y6RVMNM,2,train
NDARINVZT34GNRB,2,train
NDARINV7FG8NTPP,2,train
NDARINVP3Z6VCWP,2,train
NDARINVXJ3NHHKA,1,train
NDARINVZUDPGDWJ,2,train
NDARINVAGTPK840,2,train
NDARINVV9G24V48,1,train
NDARINV9YZV41AE,2,train
NDARINVUAHG246H,2,train
NDARINVHJ7JV8XN,2,train
NDARINVBMMM82AG,2,train
NDARINVEHLY59UX,1,train
NDARINV05CA3VX5,2,train
NDARINVD6E70E57,1,train
NDARINVRAZRBGAL,2,train
NDARINV0WHFCZKU,2,train
NDARINV58G3ZX3W,2,train
NDARINVWE1Z3L3H,1,train
NDARINVL7YXYKK6,2,train
NDARINVXKA5TREH,2,train
NDARINVY1KBMF25,2,train
NDARINVJPV235G4,2,train
NDARINVLBAKFHGK,1,train
NDARINVG5GPKJ4N,1,train
NDARINVJKPF57KV,1,train
NDARINV62K5R39F,2,train
NDARINVEM2F38BY,1,train
NDARINVF4ADZ6G5,1,train
NDARINV34XE873R,1,train
NDARINV6JKR3P49,2,train
NDARINVVTV39VRA,2,train
NDARINVBT1JM1WA,2,train
NDARINVWKY1N9UE,2,train
NDARINV6NFVRHFA,2,train
NDARINVWNEPJL03,1,train
NDARINV1GVYL05C,2,train
NDARINVACZZH8LM,2,train
NDARINV65P1JE5L,1,train
NDARINVPKXLA8CU,2,train
NDARINVTCJV2RMX,2,train
